Account,Date,Tweet Text,Compound,Positive,Neutral,Negative
relentless084,2018-03-23 04:11:49+00:00,"100% facts 
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/NqA3VhjKLJ",0.0,0.0,1.0,0.0
relentless084,2018-03-23 04:08:39+00:00,"Wow 👏🏽👏🏽👏🏽👏🏽✊🏽✊🏽✊🏽✊🏽
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout… https://t.co/M9Av3XSILV",0.5859,0.297,0.703,0.0
relentless084,2018-03-23 03:58:28+00:00,"#facts
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/qHBU9YkiaY",0.0,0.0,1.0,0.0
relentless084,2018-03-23 03:54:49+00:00,"#MOOD #blackexcellence 
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout… https://t.co/fxIkpl6RdG",0.0,0.0,1.0,0.0
relentless084,2018-03-23 03:51:59+00:00,"🔥🔥🔥🔥
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/HMaDWGIziZ",0.0,0.0,1.0,0.0
relentless084,2018-03-22 15:33:05+00:00,"#blackexcellence 👏🏽✊🏽
#entrepreneurmindset 
#health #fitness #fit #fitnessmodel #fitnessaddict… https://t.co/z0xNlQ57MG",0.0,0.0,1.0,0.0
relentless084,2018-03-21 15:38:42+00:00,"Truth hurts
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/3VD3NEi147",-0.2023,0.16,0.625,0.215
relentless084,2018-03-21 14:36:33+00:00,If you think in negative terms you’ll get negative results but if you think in positive terms… https://t.co/ip0IdKwsL7,0.296,0.199,0.61,0.191
relentless084,2018-03-21 14:20:23+00:00,#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/uRjBu40j96,0.0,0.0,1.0,0.0
relentless084,2018-03-21 14:19:33+00:00,#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/QubXCc9npF,0.0,0.0,1.0,0.0
relentless084,2018-03-21 14:18:01+00:00,#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/uVh609A1sl,0.0,0.0,1.0,0.0
relentless084,2018-03-21 14:17:11+00:00,"#facts💯💯💯 
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/LGWJtZY2Vp",0.0,0.0,1.0,0.0
relentless084,2018-03-20 15:42:36+00:00,"#ENTREPRENEURMINDSET
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout… https://t.co/9uA8WB1UgP",0.0,0.0,1.0,0.0
relentless084,2018-03-20 12:14:43+00:00,"Plan out goals and EXECUTE‼️
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout… https://t.co/YBOGdzGMV3",0.0,0.0,1.0,0.0
relentless084,2018-03-20 11:29:10+00:00,"@therock 
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/xBKyu7xjqA",0.0,0.0,1.0,0.0
relentless084,2018-03-20 11:27:52+00:00,#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/BrewVHi3y5,0.0,0.0,1.0,0.0
relentless084,2018-03-20 11:24:26+00:00,#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames #kanyewest… https://t.co/ZIgxPrTRT9,0.0,0.0,1.0,0.0
relentless084,2018-03-20 11:21:08+00:00,"King 👑 👑 👑 
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo #workout #lebronjames… https://t.co/2aLDhaKPmL",0.0,0.0,1.0,0.0
relentless084,2018-03-20 11:19:25+00:00,"A dynasty is built with a team.
#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo… https://t.co/pgwOIcpB97",0.0,0.0,1.0,0.0
relentless084,2018-03-20 01:28:28+00:00,Nothing will change until you do.#health #fitness #fit #fitnessmodel #fitnessaddict #fitspo… https://t.co/pJSiNsxVot,0.0,0.0,1.0,0.0
fitplusllc,2018-03-23 19:46:42+00:00,For more information contact us.  #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy… https://t.co/vsdAP80sgR,0.0,0.0,1.0,0.0
fitplusllc,2018-03-23 19:46:10+00:00,#workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo #757boxing #fitnessaddict… https://t.co/o7vvVh9whG,0.0,0.0,1.0,0.0
fitplusllc,2018-03-23 19:46:08+00:00,Call of to sign up today!! #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo… https://t.co/nRvgkMGa3S,0.0,0.0,1.0,0.0
fitplusllc,2018-03-22 10:29:46+00:00,Trainer Thursday!! Will has been with us since the beginning and we want to say thank you for all that you do. We a… https://t.co/oPWSsR9XC5,0.5242,0.16,0.84,0.0
fitplusllc,2018-03-22 10:23:39+00:00,https://t.co/SOuLT7OGgz https://t.co/4JhXKbZtoU,0.0,0.0,1.0,0.0
fitplusllc,2018-03-22 10:21:53+00:00,Trainer Thursday!! Will has been with us since the beginning and we want to say thank you for all that you do. We a… https://t.co/8697IShEJW,0.5242,0.16,0.84,0.0
fitplusllc,2018-03-21 15:08:47+00:00,https://t.co/7XGbhKKQ1Q https://t.co/XaPkJyrNur,0.0,0.0,1.0,0.0
fitplusllc,2018-03-21 15:01:20+00:00,#workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo #757boxing #fitnessaddict… https://t.co/NGswjqWOX7,0.0,0.0,1.0,0.0
fitplusllc,2018-03-21 14:02:21+00:00,#Fitnessplusll #newportnews #gym #fitness #pta #hampton #getfit #personaltrainer #abs #runners #strong #fitfam… https://t.co/2Py0cnIpVX,0.0,0.0,1.0,0.0
fitplusllc,2018-03-21 12:23:59+00:00,#workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo #757boxing #fitnessaddict… https://t.co/SlYoekQe3r,0.0,0.0,1.0,0.0
fitplusllc,2018-03-21 12:22:49+00:00,"Don’t stop, keep going!  #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo… https://t.co/7GahKvmTKU",-0.3595,0.0,0.849,0.151
fitplusllc,2018-03-21 12:21:47+00:00,"Make em Sweat Glow Party! Do something different and book your next party with us. Perfect for girls night out, bac… https://t.co/PbtI6dCNGJ",0.8553,0.331,0.669,0.0
fitplusllc,2018-03-20 14:23:53+00:00,If you are not registered to vote. Join us on March 31st. #workout #fitness #gym #fit #bodybuilding #motivation… https://t.co/TVqJC9u70Z,0.296,0.109,0.891,0.0
fitplusllc,2018-03-20 14:23:50+00:00,Hello Spring!!! #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo #757boxing… https://t.co/Ffp7E1RssH,0.0,0.0,1.0,0.0
fitplusllc,2018-03-20 14:16:09+00:00,It’s the first day of spring!! Tone up Tuesday  #workout #fitness #gym #fit #bodybuilding #motivation #training… https://t.co/wyWPfITSuK,0.0,0.0,1.0,0.0
fitplusllc,2018-03-20 13:10:41+00:00,Tone Up Tuesday!! #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam #healthy #fitspo… https://t.co/1GfrkIk4po,0.0,0.0,1.0,0.0
fitplusllc,2018-03-20 13:04:18+00:00,https://t.co/rynC8ZkXoT https://t.co/PqmW2604Jr,0.0,0.0,1.0,0.0
fitplusllc,2018-03-20 13:04:16+00:00,Starting in April. Call to register #workout #fitness #gym #fit #bodybuilding #motivation #training #fitfam… https://t.co/sVfLw3L5kD,0.0,0.0,1.0,0.0
fitplusllc,2018-03-19 10:13:04+00:00,From Saturday’s boxing 🥊 class. Here @fitnessbyjoshd was demonstrating basic boxing techniques. Contact Josh or fit… https://t.co/PLJqycI4xt,0.0,0.0,1.0,0.0
fitplusllc,2018-03-19 10:13:01+00:00,From Saturday’s boxing 🥊 class. Here @fitnessbyjoshd was demonstrating basic boxing techniques. Contact Josh or fit… https://t.co/iw2KhlJR9N,0.0,0.0,1.0,0.0
wchazz,2018-03-23 17:27:17+00:00,"Shrimp tacos
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict #GetOutside #GetStrong… https://t.co/IkYudgLafi",0.0,0.0,1.0,0.0
wchazz,2018-03-23 17:26:45+00:00,"Taco el carbon
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict #GetOutside #GetStrong… https://t.co/85yLMyUVjK",0.0,0.0,1.0,0.0
wchazz,2018-03-23 17:20:54+00:00,"Nice chow down
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict #GetOutside #GetStrong… https://t.co/rLx7Izc8LC",0.4215,0.189,0.811,0.0
wchazz,2018-03-23 17:20:05+00:00,"Shrimp tacos, taco el carbon, and chicken Monica. Good 
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness… https://t.co/Bs4p0mzr3F",0.4404,0.162,0.838,0.0
wchazz,2018-03-23 17:19:09+00:00,"Hungry folks 
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict #GetOutside #GetStrong… https://t.co/d04KoAF7eV",0.0,0.0,1.0,0.0
wchazz,2018-03-23 15:54:47+00:00,"It's hot lol but I'm smiling still
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict… https://t.co/jPyDifElYv",0.7096,0.312,0.688,0.0
wchazz,2018-03-23 15:51:59+00:00,"My beats for morning cardio while playing NBA 2k17
#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness… https://t.co/3OxMty4xyv",0.2023,0.107,0.893,0.0
wchazz,2018-03-23 06:33:35+00:00,#gym #fit #workout #motivation #fitfam #bodybuilding #healthy #fitspo #health #training #eatclean #fitnessaddict… https://t.co/IMbnvT2Hz8,0.0,0.0,1.0,0.0
wchazz,2018-03-23 05:25:44+00:00,#mensfashion #colehaan #sockgame #wingtips #original #style #shopmycloset #fashion #shoes #shoeaddiction… https://t.co/8FYd2HRCPn,0.0,0.0,1.0,0.0
wchazz,2018-03-23 05:25:06+00:00,#gym #fit #workout #motivation #fitfam #bodybuilding #healthy #fitspo #health #training #lifestyle #eatclean… https://t.co/DOZwwlGG30,0.0,0.0,1.0,0.0
wchazz,2018-03-23 05:24:27+00:00,#gym #fit #workout #motivation #fitfam #bodybuilding #healthy #fitspo #health #training #eatclean #fitnessaddict… https://t.co/SX959vch3P,0.0,0.0,1.0,0.0
wchazz,2018-03-23 01:45:39+00:00,RT @TerriGowin: @FoxNews @IngrahamAngle Who even put this together?! There had to be someone who actually put this document together. It is…,0.0,0.0,1.0,0.0
wchazz,2018-03-22 21:42:32+00:00,Getting stuck up https://t.co/Nl9zYWu4gF,-0.25,0.0,0.6,0.4
wchazz,2018-03-22 21:41:57+00:00,"Food so freaking good
 #gym #fit #workout #motivation #fitfam #bodybuilding #healthy #fitspo #health #training… https://t.co/RoGUhxYHgp",0.022,0.165,0.675,0.16
wchazz,2018-03-22 21:41:07+00:00,"Another great visit to chantilly va
#mensfashion #colehaan #sockgame #wingtips #original #style #shopmycloset… https://t.co/Dz7gk594U9",0.6249,0.24,0.76,0.0
wchazz,2018-03-22 16:12:06+00:00,"RT @FoxNews: .@IngrahamAngle: ""Spending more and perpetuating Obama-era programs is a recipe for fiscal and electoral disaster, even with s…",-0.6249,0.0,0.814,0.186
wchazz,2018-03-22 16:11:46+00:00,"RT @GrassrootsSpeak: Is he declaring war on the NRA?
Is he declaring war on Opioids?
Is he declaring war on Big Pharma/Insurance co's rippi…",-0.9195,0.0,0.635,0.365
wchazz,2018-03-22 16:10:30+00:00,"Cardio in my thick ass polo rxl half zip ling sleeve pullover. It's hot lol
#Cardio #Cycling #Elliptical #FitFam… https://t.co/JPcbzA630q",-0.1779,0.115,0.741,0.144
wchazz,2018-03-22 16:09:41+00:00,#Cardio #Cycling #Elliptical #FitFam #FitLife #Fitness #FitnessAddict #GetOutside #GetStrong #GirlsWhoLift #GymLife… https://t.co/NC9scYf3jn,0.0,0.0,1.0,0.0
wchazz,2018-03-22 00:43:25+00:00,RT @jemelehill: A writer actually blamed Black Panther for killing the success of other films. I guess Ryan Coogler and the Black Panther s…,-0.5859,0.123,0.629,0.248
QRoberts747,2018-03-23 14:59:21+00:00,Round 2 of Biceps &amp; Chest today love hittin them twice a week cause I get to do all the exercises my ass forgot dur… https://t.co/Xy7sOFgqLu,0.1779,0.146,0.732,0.122
QRoberts747,2018-03-23 14:14:43+00:00,Rize N Grind 🌞💪 #fitness #fitfam #FridayFlex #Biceps #Chest,0.0,0.0,1.0,0.0
QRoberts747,2018-03-23 06:36:58+00:00,"RT @BeastNBizCasual: Cranked out 4x4x290 lbs and then a final set of 3x290 before failing, but feel good about the progress. Will be reppin…",0.7506,0.254,0.673,0.072
QRoberts747,2018-03-22 16:24:07+00:00,@BeastNBizCasual It comes so much easier on Back day real talk,0.4728,0.235,0.765,0.0
QRoberts747,2018-03-22 16:15:02+00:00,Really focused on that Lat contraction today &amp; them shits R on🔥🔥🔥,-0.0534,0.193,0.6,0.207
QRoberts747,2018-03-22 14:09:44+00:00,Rize N Grind 🌞💪 #fitness #fitfam #Back #Shoulders,0.0,0.0,1.0,0.0
QRoberts747,2018-03-22 04:56:41+00:00,Back &amp; Shoulders tmrw,0.0,0.0,1.0,0.0
QRoberts747,2018-03-22 04:14:40+00:00,RT @ironqueenfit: 15lb PR. Still not enough. That breaks my state junior record. It was cool but it’s 51lbs under the national junior recor…,0.1655,0.067,0.933,0.0
QRoberts747,2018-03-22 00:27:22+00:00,RT @liizfiit: Looking to lose fat or gain muscle? Lose your waist? Gain a booty? Build a bigger upper body? Make a lifestyle change? Get a…,0.5204,0.241,0.591,0.168
QRoberts747,2018-03-21 23:38:06+00:00,That steamed sweet potato &amp; grapefruit I had on my lunch break came in clutch now I may not starve to death before I get off work 😂,0.8202,0.289,0.711,0.0
QRoberts747,2018-03-21 21:46:07+00:00,RT @MensHealthMag: Killmonger is a BEAST — and you can be one too 💪 https://t.co/YevTg4gcG9,0.0,0.0,1.0,0.0
QRoberts747,2018-03-21 18:51:41+00:00,RT @FitByBeezy: Let’s get into these shoulder gains 🔥 do y’all see my muscle coming in 💪🏽👀 I can’t wait to look so toned and defined 😏 Thes…,0.34,0.091,0.909,0.0
QRoberts747,2018-03-21 16:35:32+00:00,If u ain't limping out the gym on LegDay u need to turn yo ass around go back in &amp; finish takin that ass whoopin,-0.7906,0.0,0.75,0.25
QRoberts747,2018-03-21 16:03:42+00:00,"RT @ironqueenfit: Never quarter squat on the smith machine. 

 #WednesdayWisdom",0.0,0.0,1.0,0.0
QRoberts747,2018-03-21 15:16:42+00:00,I'm half way thru LegDay &amp; hungry AF 🙃,0.0,0.0,1.0,0.0
QRoberts747,2018-03-21 14:36:36+00:00,RT @ironqueenfit: Going for a PR today!!! Let’s see how it goes! #IronStrong #IronQueenFitness #Squats https://t.co/FdBxg4efSG,0.0,0.0,1.0,0.0
QRoberts747,2018-03-21 14:18:58+00:00,"RT @SuthernMocha: Morning! 💕

I didn’t wanna come this morning...but it’s not about what I want. Do Work.",-0.1316,0.0,0.902,0.098
QRoberts747,2018-03-21 14:18:28+00:00,RT @mussbefit: 🔥 Yesterday leg day antics... My warm up 🔥 @KineticFitness_ @JamelDietz @Lolafinesse @TEDSHREDFITNESS @mankofit @armz_korleo…,0.2263,0.119,0.881,0.0
QRoberts747,2018-03-21 14:03:18+00:00,Rize N Grind 🌞💪 #fitness #fitfam #LegDay,0.0,0.0,1.0,0.0
QRoberts747,2018-03-21 04:54:38+00:00,Currently thinking 🤔 of different ways to cripple myself on LegDay tmrw 😂,0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 14:24:28+00:00,"Hope This Helps U On Your Fitness Journey 💪👊Jk

#personaltraining #hiit #hiitworkout #fitness #workout… https://t.co/DyyJThxTgx",0.765,0.409,0.591,0.0
KeynesJohnny,2018-03-23 14:14:14+00:00,"RT @KeynesJohnny: 15Minutes HIIT Cardio Agility Workout- 5 Exercises each round 30seconds rest 15minutes In Total 😉👊🤙 
#cardio #hiit #hiitt…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 14:14:01+00:00,RT @KeynesJohnny: 12 Minutes HIIT Cardio Burst Workout-15seconds each exercise 45seconds rest 12rounds in 12minutes 😉👊🤙 #cardio #hiit #hiit…,0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 14:13:37+00:00,"RT @KeynesJohnny: Hope it Helps You on Your Fitness Journey👊🙌

#personaltraining #healthandfitness #healthandfitnesscoach #healthandfitness…",0.765,0.409,0.591,0.0
KeynesJohnny,2018-03-23 14:13:28+00:00,"RT @KeynesJohnny: HIIT and Abs Training 15mins no Rest No Pain no Gain.... GO HarD Always!!💪👊
.
.
.
.
.
.

#personaltraining #hiitandabs #h…",-0.8715,0.0,0.541,0.459
KeynesJohnny,2018-03-23 14:13:21+00:00,"RT @KeynesJohnny: TotalBody Workout. “Workout Smarter” Hit Every Muscle Group In One Session!!!👊🙌
.
.
.
.
.
#personaltraining #fitness #wei…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 14:13:07+00:00,"RT @KeynesJohnny: 20Minutes HIIT Cardio Workout... 20secs Each Exercise 30Secs Rest... I Hope This Helps You On Your Fitness Journey🙏🙌👊
#sl…",0.765,0.309,0.691,0.0
KeynesJohnny,2018-03-23 14:12:59+00:00,"RT @KeynesJohnny: https://t.co/ANjD4my4Nn 👊💪
#personaltraining #fitness #fitnessmotivation #fitnesslife #bodybuilding #fitnessfreaks #fit #…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 14:12:52+00:00,"RT @KeynesJohnny: Hope This Helps You On Your Fitness Journey🙌👊💪
#personaltraining #hiit #workout #hiittraining #fitfam #motivation #gym #c…",0.765,0.336,0.664,0.0
KeynesJohnny,2018-03-23 11:22:49+00:00,"RT @KeynesJohnny: I’m blem 4Real @Drake 🙌👊
#soundcloud #soundcloudrapper #soundcloudmusic #music #hiphop #rapper #rap #newmusic #producer #…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 03:11:54+00:00,"Hope This Helps You On Your Fitness Journey🙌👊💪
#personaltraining #hiit #workout #hiittraining #fitfam #motivation… https://t.co/WRxTK6XYau",0.765,0.388,0.612,0.0
KeynesJohnny,2018-03-23 02:49:15+00:00,I don’t listen to those I know it all music raters coz their just haters it’s like if they like my shit then it’ll… https://t.co/f7tAi5wRvO,-0.4215,0.162,0.617,0.221
KeynesJohnny,2018-03-23 02:37:22+00:00,"I’m blem 4Real @Drake 🙌👊
#soundcloud #soundcloudrapper #soundcloudmusic #music #hiphop #rapper #rap #newmusic… https://t.co/PW9lunTk9o",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 02:31:09+00:00,"RT @KeynesJohnny: Full Playlist on SoundCloud!!

#soundcloud #soundcloudrapper #hiphop #soundcloudmusic #music #rap #trap #rapper #producer…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 02:30:58+00:00,"RT @KeynesJohnny: New Music Soundcloud Johnny Keynes!!
.
.
.
#soundcloud #soundcloudrapper #hiphop #soundcloudmusic #music #rap #rapper #pr…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 02:30:47+00:00,"RT @KeynesJohnny: New Music Soundcloud Johnny Keynes!🙌👊👊
.
.
#soundcloud #soundcloudrapper #hiphop #soundcloudmusic #music #rap #rapper #pr…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 02:30:34+00:00,"RT @KeynesJohnny: Strap an L when I whine down tell my girl bring the red wine😉👊🙌
#personaltraining #hiphopculture #hiphop #hiphopnation #r…",-0.3612,0.0,0.878,0.122
KeynesJohnny,2018-03-23 02:30:18+00:00,"RT @KeynesJohnny: With you Remix!!

#champagnepapi #drake #champagnepapifollowme #drizzy #champagnepapis #ovo #drizzydrake #drakefanpage #o…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 02:29:47+00:00,"RT @KeynesJohnny: @Drake Feel a way Remix 🙌👊
#soundcloud #soundcloudrapper #soundcloudmusic #music #hiphop #rapper #rap #newmusic #producer…",0.0,0.0,1.0,0.0
KeynesJohnny,2018-03-23 01:40:52+00:00,"RT @KeynesJohnny: It was all a Dream🙌👊
#soundcloud #soundcloudrapper #soundcloudmusic #music #hiphop #rapper #rap #newmusic #producer #worl…",0.0,0.0,1.0,0.0
microdosinghgh,2018-03-23 20:17:24+00:00,"Oh, what a tangled web do parents weave, when they think that their children are naive. - Ogden Nash #quote https://t.co/n6Meiu8vAw",-0.2732,0.0,0.896,0.104
microdosinghgh,2018-03-23 20:07:20+00:00,The reason I exercise is for the quality of life I enjoy. Kenneth H. Cooper #FitQuote #Fitness #FitnessMotivation,0.4939,0.176,0.824,0.0
microdosinghgh,2018-03-23 19:52:19+00:00,"""Go with courage into the unknown.""  -  #MindBodyThoughts",0.4939,0.348,0.652,0.0
microdosinghgh,2018-03-23 19:37:15+00:00,"Thou who hast given so much to me, give me one more thing… a grateful heart! – George Herbert #quote https://t.co/buaGrkigH8",0.553,0.166,0.834,0.0
microdosinghgh,2018-03-23 19:17:25+00:00,I am thankful for all of those who said NO to me. Its because of them I'm doing it myself. - Albert Einstein #quote https://t.co/ZpvJwZVRm2,0.1943,0.134,0.76,0.106
microdosinghgh,2018-03-23 19:09:33+00:00,Would you like to look and feel 5 10 or even 20 years younger?  I am on a journey that has taken me from #bedridden… https://t.co/yeMMRvCTwy,0.3612,0.102,0.898,0.0
microdosinghgh,2018-03-23 19:07:17+00:00,"“Float like a butterfly, sting like a bee. Your hands can’t hit what your eyes can’t see.” - MUHAMMAD ALI #NoExcuses #FitQuote #Nutrition",0.6124,0.217,0.783,0.0
microdosinghgh,2018-03-23 18:52:12+00:00,"""If you are reading this, just know someone is thinking about you.""  -  #MindBodyThoughts",0.0,0.0,1.0,0.0
microdosinghgh,2018-03-23 18:37:21+00:00,"Design is about point of view, and there should be some sort of woman or lifestyle or attitude in one's head as a d… https://t.co/EBTZulKTWy",0.0,0.0,1.0,0.0
microdosinghgh,2018-03-23 18:17:25+00:00,"Everyone is gifted, but some people never open their package. - Wolfgang Riebe #quote #truth https://t.co/bzA48OfU6r",0.0,0.0,1.0,0.0
microdosinghgh,2018-03-23 18:07:20+00:00,"“A fit, healthy body—that is the best fashion statement” - Jess C. Scott #FitQuote #FitnessMotivation #FitLife",0.8555,0.439,0.561,0.0
microdosinghgh,2018-03-23 17:52:14+00:00,"""What I surround myself with is what makes up my life.""  -  #MindBodyThoughts",0.0,0.0,1.0,0.0
microdosinghgh,2018-03-23 17:39:31+00:00,#HGH Human Growth Hormone is critical for the growth of bones and muscles!  #Somatropin is used to treat… https://t.co/PQ4HRHa5Tn,0.4926,0.231,0.672,0.097
