Account,Date,Tweet Text,Compound,Positive,Neutral,Negative
sbwTweet,2018-03-21 23:57:53+00:00,RT @BoraxCross: What people are really afraid of in this armed teachers business is allowing generations of students to see firearms used r…,0.0,0.0,1.0,0.0
sbwTweet,2018-03-21 23:56:44+00:00,"@GOPChairwoman, I need a way to contribute to the advancement of @potus’ program &amp; #drainTheSwamp w/o supporting Ry… https://t.co/cxUdNKTO6m",0.4404,0.153,0.847,0.0
sbwTweet,2018-03-21 23:49:38+00:00,"RT @StephenMilIer: If Lindsey Graham and John McCain really want to 'spread democracy around the world', they can start by accepting the 20…",0.4927,0.166,0.834,0.0
sbwTweet,2018-03-21 23:49:12+00:00,RT @iowahawkblog: It's hard to take seriously hysteria over FB data mining from people who were giving the Obama campaign tongue baths over…,-0.3818,0.088,0.693,0.219
sbwTweet,2018-03-21 23:45:22+00:00,"RT @MZHemingway: With McCabe's latest self-justifying leak, I need someone to reassure me again that I need to have confidence in the strai…",0.5106,0.218,0.69,0.092
sbwTweet,2018-03-21 23:41:49+00:00,RT @Barnes_Law: This also explains how @Comey knew Sessions would recuse himself before Sessions even did: he &amp; McCabe intended to open a c…,0.0,0.0,1.0,0.0
sbwTweet,2018-03-21 23:38:22+00:00,"RT @hale_razor: 2012: Obama’s digital team is so smart how it used social media in unprecedented and enlightened ways, we are so lucky to s…",0.8836,0.319,0.681,0.0
sbwTweet,2018-03-21 19:39:31+00:00,Presumes that @SenJohnMcCain would listen. Facts in evidence interfere with the @narrative. https://t.co/bG0wmslNWJ,0.0,0.0,1.0,0.0
sbwTweet,2018-03-21 18:46:49+00:00,"RT @MikeOutYonder: Trump: I'm not firing Mueller.
Flake: Please! Don't fire Mueller! We're BEGGING you!
Trump: I SAID I wasn't g...
Flake:…",0.739,0.299,0.701,0.0
sbwTweet,2018-03-21 16:21:42+00:00,"#EpicFail as a snark, @ClaraJeffery, not even close to the Dukakis tank shot. https://t.co/GkXVz6zweO",0.0,0.0,1.0,0.0
sbwTweet,2018-03-21 16:10:11+00:00,"And if he couldn’t use his fists, Biden has previously threatened to use a shotgun. @JoeBiden needs an intervention… https://t.co/SPnNgDjj6o",-0.4588,0.0,0.857,0.143
sbwTweet,2018-03-21 16:08:00+00:00,".@TeamCavuto, @Mr.KRudd advises @potus to use world institutions to deal w/ #China’s unfair trade, mistakenly assum… https://t.co/rdzzCguZRC",-0.6486,0.0,0.739,0.261
sbwTweet,2018-03-21 15:52:19+00:00,"Just to help @AP_Politics, you might want to email them this background. @AP LOVES to add #context -- you know, lik… https://t.co/KT2WQTkDgC",0.8143,0.307,0.693,0.0
sbwTweet,2018-03-21 01:15:09+00:00,RT @benshapiro: My piece on this idiotic Cambridge Analytica/social media scam story https://t.co/UBRblHPyUb,-0.8381,0.0,0.58,0.42
sbwTweet,2018-03-21 00:46:25+00:00,"RT @chasrmartin: Cambridge Analytica: This isn't a scandal, it's how Facebook works https://t.co/PG4LljVt8T",0.3412,0.179,0.821,0.0
sbwTweet,2018-03-21 00:39:14+00:00,RT @topsecretk9: Were you napping when Obama did it? https://t.co/cml6ntWPvV,0.0,0.0,1.0,0.0
sbwTweet,2018-03-21 00:38:29+00:00,"RT @LarrySchweikart: Bwa hahahaha.

Fake news can't get ANY charge to stick. https://t.co/0cS9XEjsHw",-0.4767,0.0,0.795,0.205
sbwTweet,2018-03-20 20:54:53+00:00,"Could be. A worthwhile perspective on Middle East prospects. ""(1) DID I TELL YOU OR WHAT? Bashar al-Assad PERSONALL… https://t.co/OdAYvo4THS",0.5574,0.223,0.777,0.0
sbwTweet,2018-03-20 20:47:47+00:00,"RT @Travesham: Maryland gun control laws:
✅ Assault weapons ban
✅ Firearms registry
✅ Universal background checks
✅ Near-ban on concealed c…",-0.9136,0.0,0.524,0.476
sbwTweet,2018-03-20 20:46:19+00:00,"RT @hale_razor: Don't upset John Brennan or you'll feel the fiery vengeance of the Deep State, which doesn't exist.",-0.0557,0.101,0.788,0.111
Allisonlmoore,2018-03-21 01:20:23+00:00,Just posted a video @ Fort McMurray International Airport - YMM https://t.co/N1xBpDRbCm,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-21 00:58:11+00:00,"Due to a road closure between Edmonton and Fort McMurray, last night there was an influx of… https://t.co/st5O8PxD5d",0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-20 23:29:48+00:00,Thank you to artsVest’s amazing participants in Fort McMurray for such a fantastic Peer to Peer… https://t.co/dkFvnucrPZ,0.872,0.432,0.568,0.0
Allisonlmoore,2018-03-20 01:53:49+00:00,@AlexKGT Next year with drag queens,-0.2263,0.0,0.725,0.275
Allisonlmoore,2018-03-20 01:52:33+00:00,RT @CTVShaunF: I'm working on a positive &amp; inspiring story today. Former Calgarian &amp; current #Kelowna resident @Wilkius has a very active l…,0.8553,0.343,0.657,0.0
Allisonlmoore,2018-03-20 01:52:13+00:00,RT @Wilkius: Excited to share my story with @CTVCalgary  and @CTVShaunF today! https://t.co/82UFctKDr4,0.5983,0.308,0.692,0.0
Allisonlmoore,2018-03-19 23:52:44+00:00,Had a wonderful time touring the Centre for Creative Arts in Grande Prairie today!… https://t.co/uuO2sd1E9I,0.784,0.365,0.635,0.0
Allisonlmoore,2018-03-19 23:37:37+00:00,Thanks to our great artsVest participants in Grande Prairie for the wonderful Peer to Peer… https://t.co/HLak6mFJ3x,0.8934,0.451,0.549,0.0
Allisonlmoore,2018-03-19 16:29:08+00:00,Another great workshop with artsVest &amp; the Calgary Advanced Sponsorship Group on Friday! Thanks… https://t.co/FxMJHQHdw2,0.75,0.33,0.67,0.0
Allisonlmoore,2018-03-19 03:04:22+00:00,"Grande Prairie by night #ontheroadagain @ Grande Prairie, Alberta https://t.co/nDimM2aOAQ",0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-18 18:19:56+00:00,"The only straight man in my life, incredible friend and life yoda. @ The Coup https://t.co/BZxBZ8f4PG",0.6249,0.282,0.718,0.0
Allisonlmoore,2018-03-17 15:59:41+00:00,About last night #teamnegroni @ Tavernetta YYC https://t.co/DII0VWctqA,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-17 02:59:36+00:00,Negroni 5? Negroni 4? Negroni floor? @ Tavernetta YYC https://t.co/ySOMks2NdA,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-17 02:49:14+00:00,Shake it like a Polaroid picture @ Tavernetta YYC https://t.co/2sAud9OblU,0.2023,0.245,0.588,0.167
Allisonlmoore,2018-03-17 00:42:12+00:00,Team Negroni Night! @ Tavernetta YYC https://t.co/Z2hEBiSY5i,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-16 20:55:49+00:00,Behind the Scenes at the Esker Foundation with the Rosza Executive Arts Leadership Course!… https://t.co/PzaTxPpFgZ,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-16 20:44:25+00:00,Esker Foundation art babes sandwich! @ Esker Foundation https://t.co/9jct4Pv6jf,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-16 18:29:04+00:00,Thanks to the Esker Foundation for sharing their Nest meeting room for not for profits with our… https://t.co/q27SC5yTb8,0.5096,0.247,0.649,0.104
Allisonlmoore,2018-03-14 05:45:30+00:00,Date night with my favourite Butler! https://t.co/5ysxiDYYJf,0.0,0.0,1.0,0.0
Allisonlmoore,2018-03-14 05:38:38+00:00,Proud proud proud! So incredibly proud to see Ayla on stage in Theatre Calgary’s The Humans!… https://t.co/naliCH97ry,0.9183,0.5,0.5,0.0
kristib_t,2018-03-20 14:56:17+00:00,Not a “fascinating evolution” Jim. Not at all 🙄 https://t.co/WKNwj1e2KP,0.0,0.0,1.0,0.0
kristib_t,2018-03-20 01:52:33+00:00,"Things I learned today...1)Despite the ease at which people use drills, they are in fact tricky.  2)Drywall screws… https://t.co/hHNBODnNOw",0.2263,0.124,0.796,0.08
kristib_t,2018-03-18 21:40:49+00:00,"Mother Nature is a b****. Short sleeve weather today, 4-8” of snow Tuesday night 😤",0.0,0.0,1.0,0.0
kristib_t,2018-03-18 12:03:06+00:00,@miranda_rike I’m betting I’ve taken care of one of those couples. The doll is disturbing.,-0.0258,0.164,0.667,0.169
kristib_t,2018-03-17 01:29:03+00:00,That’s my girl 💪🏻 https://t.co/myhS1O5jZm,0.0,0.0,1.0,0.0
kristib_t,2018-03-11 20:20:00+00:00,When you combine three 12 hour shifts in a row with the time change and a few rounds of chest compressions... https://t.co/j6cpeXp0bq,0.0,0.0,1.0,0.0
kristib_t,2018-03-09 01:43:43+00:00,One of my primary responsibilities as a mom is to prepare my kids for what they’ll face in life. But I’m at a loss this week.,-0.3182,0.0,0.909,0.091
kristib_t,2018-03-08 19:54:46+00:00,❤️ https://t.co/mnRSExj8HW,0.0,0.0,1.0,0.0
kristib_t,2018-03-05 23:55:04+00:00,Wise beyond his years ❤️ https://t.co/FUu3pzAQJh,0.4767,0.383,0.617,0.0
kristib_t,2018-03-04 04:21:24+00:00,"A day of firsts, lasts, and a heartbreaking loss has left me drained on all levels. Cherish the memories, tell othe… https://t.co/TrRA93E4K9",-0.6369,0.098,0.606,0.295
kristib_t,2018-03-03 19:44:56+00:00,#freshstart https://t.co/ZSYe1ByG7B,0.0,0.0,1.0,0.0
kristib_t,2018-02-25 23:43:23+00:00,Is it a full moon?  Asking for all the nurses I’m working with today 😳 https://t.co/OjZe4DfPOd,0.0,0.0,1.0,0.0
kristib_t,2018-02-20 17:27:05+00:00,@tathan_neeters  https://t.co/OIiig3TZmk,0.0,0.0,1.0,0.0
kristib_t,2018-02-20 17:21:12+00:00,Happy 20th @tathan_neeters #youstillgivethesamelook ❤️ https://t.co/qO2rtt8wto,0.5719,0.425,0.575,0.0
kristib_t,2018-02-19 22:47:38+00:00,Me: Why is there a machete on the floor?    Kalli: Because there was a stranger at the door while you were at work. https://t.co/r59JadzYHE,0.0,0.0,1.0,0.0
kristib_t,2018-02-19 13:35:27+00:00,This morning my Fitbit alerted me my average night of sleep is 5 hours 14 minutes and suggested I “take steps to im… https://t.co/3p9AAqM2Pt,0.0,0.0,1.0,0.0
kristib_t,2018-02-18 02:56:25+00:00,"@tathan_neeters : Here Mom, try this.   Me: (sniffs, smells fruity) (takes sip, face contorts into disgust, unable… https://t.co/AJFIaf5D5Y",-0.5994,0.0,0.804,0.196
kristib_t,2018-02-17 10:39:25+00:00,@meggp_12 I’m dying 😂😂😂,0.0,0.0,1.0,0.0
kristib_t,2018-02-16 18:37:21+00:00,Waiting in line for this lady to write a check at Kroger #its2018 https://t.co/nDniKVfrSo,0.0,0.0,1.0,0.0
kristib_t,2018-02-15 15:49:00+00:00,@Teeters_Gamer  https://t.co/mFq75lnPob,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 23:58:12+00:00,"RT @briannathough: @omoawo_ Me too, i was balling! 😭",0.0,0.0,1.0,0.0
omoawo_,2018-03-21 23:43:36+00:00,The last episode of the office has me in tears...,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 19:31:01+00:00,RT @_BigDaddyLove: Tope Alabi https://t.co/czpPrEMUDG,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 19:30:45+00:00,RT @wolemi_: This nigga Isaac is famous.😭,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 17:21:34+00:00,Is it me or does it look like Kevin from The Office doesn’t have any upper front teeth?,0.3612,0.128,0.872,0.0
omoawo_,2018-03-21 16:49:33+00:00,RT @niaxnicolee: 4th floor and up of the library &gt;&gt;,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 16:45:05+00:00,RT @KingSeun3: 💀💀💀 https://t.co/v5dxF5fNKu,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 16:42:49+00:00,RT @KingDillianSLAY: 👑Yasssss Go Mavericks! #themaverickway #gomavs @utarlington https://t.co/RcsHVYAEIY,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 16:42:38+00:00,RT @KingSeun3: Y’all don’t even have a Football team ... https://t.co/rd7WTW0JcA,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 16:42:34+00:00,Lmaoooo I should really support my school but this is funny 😭 https://t.co/vSu8V3qMsQ,0.7047,0.394,0.606,0.0
omoawo_,2018-03-21 15:15:30+00:00,"A girl that also has a job, her own car and her own house; she cooks, cleans the house and can take care of her own… https://t.co/qKdC72u5yu",0.4939,0.118,0.882,0.0
omoawo_,2018-03-21 15:09:06+00:00,I really don’t want to walk to get food.,0.1477,0.184,0.816,0.0
omoawo_,2018-03-21 14:48:04+00:00,RT @aiyo_michelle: If I ever loved you I’ll always love you because that’s how I was raised,0.8442,0.384,0.616,0.0
omoawo_,2018-03-21 14:28:04+00:00,RT @Cece1515: Anybody else remember Cornell notes ?,0.0,0.0,1.0,0.0
omoawo_,2018-03-21 14:28:01+00:00,Ugh https://t.co/bAn9YYi8n1,-0.4215,0.0,0.263,0.737
omoawo_,2018-03-21 14:05:26+00:00,"We give our crowns to you, we say you reign, God alone.",0.0258,0.149,0.709,0.142
omoawo_,2018-03-21 13:53:18+00:00,"RT @alomichd: find the difference....
when u do, rt &amp; don’t say shit lmao https://t.co/OJpV308puS",0.0772,0.2,0.615,0.185
omoawo_,2018-03-21 13:22:40+00:00,RT @meganhill__: I hate a “that’s just the way I am” mentality. You’re not stuck with your bad qualities. You can change. You should change…,-0.755,0.062,0.68,0.258
omoawo_,2018-03-21 12:04:39+00:00,RT @realsethparks: Nice try UTAPD https://t.co/ZhniFNqtLr,0.4215,0.359,0.641,0.0
omoawo_,2018-03-21 02:51:03+00:00,"RT @aiyo_michelle: “I suck at texting” is actually bullshit. 

If they liked you that much texting back is going to feel like second nature.",-0.34,0.166,0.625,0.209
KelphelpOG,2018-03-21 21:52:23+00:00,RT @FightClubHuBBs: Don't forget to tune in tonight at 9pm EST for 3 Vets &amp; a n00b with @KelphelpOG. My buddy Sporko joins the 2 hour show…,-0.2344,0.063,0.838,0.099
KelphelpOG,2018-03-21 19:32:48+00:00,This has been one of the most emotionally draining chapters I have read in Berserk............it's a tough read for… https://t.co/IkkfKXyRrS,-0.128,0.0,0.919,0.081
KelphelpOG,2018-03-21 17:51:24+00:00,"Holy god guys latest chaoter of #berserk is up, and it is absolutely heart warming.......then put me into cardiac a… https://t.co/lthxdhUWZP",0.2732,0.095,0.905,0.0
KelphelpOG,2018-03-21 01:34:19+00:00,"RT @yakuzagame: Don't miss your chance to pick up the official #Y6ArtShow t-shirt, currently available for purchase in the @SEGA Shop! #Yak…",-0.1501,0.062,0.852,0.087
KelphelpOG,2018-03-20 16:32:36+00:00,Just a reminder that the Yakuza 6 demos finally out and ready for playability! Get it now!! https://t.co/3Uzq4HOvKI,0.5229,0.184,0.816,0.0
KelphelpOG,2018-03-20 16:31:15+00:00,RT @videogamedeals: Yakuza 6: The Song of Life Locations Theme (PS4) is Free via PSN. https://t.co/Um5dPcF6m9 https://t.co/Hy8OHMGvzp,0.5106,0.171,0.829,0.0
